,YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM_1,DIST_DIRECT_KM,DIST_ACHIEVED_KM_1
549154,2024,1,JAN,2024-01-01,FAB CE (SES RP1),FAB (FIR),SCR,1450854,1440548.37,1409168.36
549155,2024,1,JAN,2024-01-01,FAB CE (SES RP1),FAB (FIR),CPF,1515678,1509686.27,1484603.67
549156,2024,1,JAN,2024-01-01,FAB CE (SES RP2),FAB (FIR),SCR,1763102,1751372.48,1716865.37
549157,2024,1,JAN,2024-01-01,FAB CE (SES RP2),FAB (FIR),CPF,1843379,1836335.7,1808259.62
549158,2024,1,JAN,2024-01-01,FAB CE (SES RP2),FAB (FIR),FTFM,1840965,1828475.92,1791596.05
549159,2024,1,JAN,2024-01-01,FABEC,FAB (FIR),FTFM,6578114,6386083.06,6267650.2
549160,2024,1,JAN,2024-01-01,FABEC,FAB (FIR),CPF,6495558,6419344.24,6330635.94
549161,2024,1,JAN,2024-01-01,FABEC,FAB (FIR),SCR,6467265,6288285.59,6174720.04
549162,2024,1,JAN,2024-01-01,Finland,State (FIR),CPF,116845,116621.8,113522.75
549163,2024,1,JAN,2024-01-01,Finland,State (FIR),FTFM,118743,118435.64,115097.16
549164,2024,1,JAN,2024-01-01,Finland,State (FIR),SCR,113685,113408.14,110204.56
549165,2024,1,JAN,2024-01-01,France,State (FIR),CPF,3578518,3538647.87,3479253.01
549166,2024,1,JAN,2024-01-01,France,State (FIR),FTFM,3593860,3488846.0,3413859.5
549167,2024,1,JAN,2024-01-01,France,State (FIR),SCR,3533252,3434987.23,3362844.99
549168,2024,1,JAN,2024-01-01,Georgia,State (FIR),CPF,149837,149323.0,142892.16
549169,2024,1,JAN,2024-01-01,Georgia,State (FIR),FTFM,148791,147791.18,141399.33
549170,2024,1,JAN,2024-01-01,Georgia,State (FIR),SCR,134149,133471.03,127770.43
549171,2024,1,JAN,2024-01-01,Germany,State (FIR),CPF,1922891,1912125.22,1883623.15
549172,2024,1,JAN,2024-01-01,Germany,State (FIR),FTFM,1950361,1911447.43,1868783.13
549173,2024,1,JAN,2024-01-01,Germany,State (FIR),SCR,1904862,1869352.86,1829220.52
549174,2024,1,JAN,2024-01-01,Greece,State (FIR),CPF,781070,779061.87,768354.35
549175,2024,1,JAN,2024-01-01,Greece,State (FIR),FTFM,789806,782238.44,768798.9
549176,2024,1,JAN,2024-01-01,Greece,State (FIR),SCR,745916,740164.51,728978.6
549177,2024,1,JAN,2024-01-01,Hungary,State (FIR),CPF,465687,465053.27,456926.66
549178,2024,1,JAN,2024-01-01,Hungary,State (FIR),SCR,437898,436353.52,425516.41
549179,2024,1,JAN,2024-01-01,Hungary,State (FIR),FTFM,465282,463687.47,452119.63
549180,2024,1,JAN,2024-01-01,Ireland,State (FIR),CPF,275301,274896.0,271344.07
549181,2024,1,JAN,2024-01-01,Ireland,State (FIR),FTFM,242524,241520.36,237030.03
549182,2024,1,JAN,2024-01-01,Ireland,State (FIR),SCR,207551,206847.32,202915.65
549183,2024,1,JAN,2024-01-01,Italy,State (FIR),CPF,1584302,1571591.25,1544052.98
549184,2024,1,JAN,2024-01-01,Italy,State (FIR),FTFM,1593091,1567719.45,1533064.9
549185,2024,1,JAN,2024-01-01,Italy,State (FIR),SCR,1592932,1568787.91,1535733.65
549186,2024,1,JAN,2024-01-01,Latvia,State (FIR),CPF,76091,75759.22,70478.24
549187,2024,1,JAN,2024-01-01,Latvia,State (FIR),SCR,74169,73856.93,68854.19
549188,2024,1,JAN,2024-01-01,Latvia,State (FIR),FTFM,77071,76727.47,71361.5
549189,2024,1,JAN,2024-01-01,Lithuania,State (FIR),CPF,57557,57426.78,50917.6
549190,2024,1,JAN,2024-01-01,Lithuania,State (FIR),SCR,57885,57750.27,50646.51
549191,2024,1,JAN,2024-01-01,Lithuania,State (FIR),FTFM,58690,58418.45,50974.16
549192,2024,1,JAN,2024-01-01,Malta,State (FIR),CPF,145623,145392.38,143799.03
549193,2024,1,JAN,2024-01-01,Malta,State (FIR),SCR,121910,121817.51,120670.8
549194,2024,1,JAN,2024-01-01,Malta,State (FIR),FTFM,134936,134799.74,133268.05
549195,2024,1,JAN,2024-01-01,Moldova,State (FIR),CPF,328,326.0,300.26
549196,2024,1,JAN,2024-01-01,Moldova,State (FIR),FTFM,204,203.12,187.0
549197,2024,1,JAN,2024-01-01,Moldova,State (FIR),SCR,204,203.12,187.0
549198,2024,1,JAN,2024-01-01,Morocco,State (FIR),CPF,782221,779576.59,769454.86
549199,2024,1,JAN,2024-01-01,Morocco,State (FIR),SCR,760116,753763.28,743529.58
549200,2024,1,JAN,2024-01-01,Morocco,State (FIR),FTFM,783189,775411.76,764004.23
549201,2024,1,JAN,2024-01-01,NEFAB,FAB (FIR),FTFM,602633,594220.7,583157.66
549202,2024,1,JAN,2024-01-01,NEFAB,FAB (FIR),CPF,600032,591326.94,582189.59
549203,2024,1,JAN,2024-01-01,NEFAB,FAB (FIR),SCR,570034,561870.44,551852.19
549204,2024,1,JAN,2024-01-01,Netherlands,State (FIR),FTFM,415225,409628.9,398490.82
549205,2024,1,JAN,2024-01-01,Netherlands,State (FIR),CPF,407403,405602.02,398365.13
549206,2024,1,JAN,2024-01-01,Netherlands,State (FIR),SCR,402028,396896.37,386358.42
549207,2024,1,JAN,2024-01-01,North Macedonia,State (FIR),CPF,55098,55025.38,54165.97
549208,2024,1,JAN,2024-01-01,North Macedonia,State (FIR),FTFM,56285,56171.53,54462.25
549209,2024,1,JAN,2024-01-01,North Macedonia,State (FIR),SCR,53203,53134.04,51525.62
549210,2024,1,JAN,2024-01-01,Norway,State (FIR),CPF,344081,341878.95,339394.2
549211,2024,1,JAN,2024-01-01,Norway,State (FIR),FTFM,346665,344351.39,340687.13
549212,2024,1,JAN,2024-01-01,Norway,State (FIR),SCR,323885,321706.24,318359.74
549213,2024,1,JAN,2024-01-01,Poland,State (FIR),CPF,548196,546893.34,525060.92
549214,2024,1,JAN,2024-01-01,Poland,State (FIR),FTFM,560992,553538.73,526124.67
549215,2024,1,JAN,2024-01-01,Poland,State (FIR),SCR,537543,531124.52,505867.09
549216,2024,1,JAN,2024-01-01,Portugal (Continental),State (FIR),CPF,772483,771009.35,761462.26
549217,2024,1,JAN,2024-01-01,Portugal (Continental),State (FIR),FTFM,763212,760074.35,749330.71
549218,2024,1,JAN,2024-01-01,Portugal (Continental),State (FIR),SCR,745004,742564.53,732831.84
549219,2024,1,JAN,2024-01-01,Romania,State (FIR),CPF,753537,752895.06,729156.14
549220,2024,1,JAN,2024-01-01,Romania,State (FIR),SCR,691700,690622.72,666716.58
549221,2024,1,JAN,2024-01-01,Romania,State (FIR),FTFM,747302,746153.44,720091.79
549222,2024,1,JAN,2024-01-01,SES Area (RP2),Area (FIR),FTFM,19434809,18878053.01,18653134.79
549223,2024,1,JAN,2024-01-01,SES Area (RP2),Area (FIR),SCR,18879216,18361529.97,18149643.64
549224,2024,1,JAN,2024-01-01,SES Area (RP2),Area (FIR),CPF,19385533,19063450.59,18888919.14
549225,2024,1,JAN,2024-01-01,SES Area (RP3),Area (FIR),SCR,17465847,17011207.71,16805951.35
549226,2024,1,JAN,2024-01-01,SES Area (RP3),Area (FIR),FTFM,17960053,17472540.88,17253544.2
549227,2024,1,JAN,2024-01-01,SES Area (RP3),Area (FIR),CPF,17888341,17611108.75,17438676.96
549228,2024,1,JAN,2024-01-01,SW FAB,FAB (FIR),CPF,3364471,3326106.49,3282167.7
549229,2024,1,JAN,2024-01-01,SW FAB,FAB (FIR),SCR,3304932,3241342.28,3191070.86
549230,2024,1,JAN,2024-01-01,SW FAB,FAB (FIR),FTFM,3362839,3295132.18,3242579.26
549231,2024,1,JAN,2024-01-01,Serbia and Montenegro,State (FIR),SCR,354837,353940.73,347464.16
549232,2024,1,JAN,2024-01-01,Serbia and Montenegro,State (FIR),FTFM,365480,364441.92,357577.68
549233,2024,1,JAN,2024-01-01,Serbia and Montenegro,State (FIR),CPF,364776,363839.18,358995.93
549234,2024,1,JAN,2024-01-01,Slovakia,State (FIR),CPF,141824,141579.93,136179.03
549235,2024,1,JAN,2024-01-01,Slovakia,State (FIR),FTFM,141472,141054.29,134263.21
549236,2024,1,JAN,2024-01-01,Slovakia,State (FIR),SCR,135157,134732.05,128526.95
549237,2024,1,JAN,2024-01-01,Slovenia,State (FIR),CPF,90490,90429.94,89379.08
549238,2024,1,JAN,2024-01-01,Slovenia,State (FIR),FTFM,89718,89695.11,88278.37
549239,2024,1,JAN,2024-01-01,Slovenia,State (FIR),SCR,89921,89918.53,88583.13
549240,2024,1,JAN,2024-01-01,Spain,State (FIR),CPF,2582484,2552702.82,2511368.43
549241,2024,1,JAN,2024-01-01,Spain,State (FIR),FTFM,2589722,2533986.4,2483545.44
549242,2024,1,JAN,2024-01-01,Spain,State (FIR),SCR,2551529,2498722.83,2449937.68
549243,2024,1,JAN,2024-01-01,Spain (Canarias),State (FIR),FTFM,332947,325905.74,318010.32
549244,2024,1,JAN,2024-01-01,Spain (Canarias),State (FIR),SCR,305456,299388.99,291625.91
549245,2024,1,JAN,2024-01-01,Spain (Canarias),State (FIR),CPF,336319,334261.79,328906.67
549246,2024,1,JAN,2024-01-01,Spain (Continental),State (FIR),FTFM,2256775,2208080.67,2165535.12
549247,2024,1,JAN,2024-01-01,Spain (Continental),State (FIR),SCR,2246073,2199333.84,2158311.77
549248,2024,1,JAN,2024-01-01,Spain (Continental),State (FIR),CPF,2246165,2218441.03,2182461.76
549249,2024,1,JAN,2024-01-01,Sweden,State (FIR),CPF,406529,405264.98,399897.03
549250,2024,1,JAN,2024-01-01,Sweden,State (FIR),FTFM,413280,410356.96,402687.45
549251,2024,1,JAN,2024-01-01,Sweden,State (FIR),SCR,397971,395168.04,388433.14
549252,2024,1,JAN,2024-01-01,Switzerland,State (FIR),SCR,265107,261702.58,251374.35
549253,2024,1,JAN,2024-01-01,Switzerland,State (FIR),CPF,249999,248437.11,241199.2
549254,2024,1,JAN,2024-01-01,Switzerland,State (FIR),FTFM,261145,257447.87,246943.1
549255,2024,1,JAN,2024-01-01,Türkiye,State (FIR),CPF,2387186,2335763.4,2270459.27
549256,2024,1,JAN,2024-01-01,Türkiye,State (FIR),SCR,2314716,2233123.92,2165528.85
549257,2024,1,JAN,2024-01-01,Türkiye,State (FIR),FTFM,2514094,2425244.18,2349702.1
549258,2024,1,JAN,2024-01-01,UK (Continental),State (FIR),CPF,1500134,1480832.86,1453192.74
549259,2024,1,JAN,2024-01-01,UK (Continental),State (FIR),SCR,1412617,1378332.53,1342990.79
549260,2024,1,JAN,2024-01-01,UK (Continental),State (FIR),FTFM,1474687,1436987.88,1399469.69
549261,2024,1,JAN,2024-01-01,UK-Ireland FAB,FAB (FIR),SCR,1619522,1580262.09,1545270.77
549262,2024,1,JAN,2024-01-01,UK-Ireland FAB,FAB (FIR),CPF,1775194,1752452.62,1724289.37
549263,2024,1,JAN,2024-01-01,UK-Ireland FAB,FAB (FIR),FTFM,1716089,1672453.2,1635400.39
549264,2024,1,JAN,2024-01-02,Albania,State (FIR),CPF,69963,69540.06,67806.69
549265,2024,1,JAN,2024-01-02,Albania,State (FIR),FTFM,73024,72510.41,69421.0
549266,2024,1,JAN,2024-01-02,Albania,State (FIR),SCR,68054,67550.18,64483.85
549267,2024,1,JAN,2024-01-02,Armenia,State (FIR),CPF,22722,22458.65,21468.26
549268,2024,1,JAN,2024-01-02,Armenia,State (FIR),FTFM,23061,22719.8,21402.84
549269,2024,1,JAN,2024-01-02,Armenia,State (FIR),SCR,31530,31216.92,29866.42
549270,2024,1,JAN,2024-01-02,Austria,State (FIR),CPF,561191,559998.99,552104.93
549271,2024,1,JAN,2024-01-02,Austria,State (FIR),FTFM,559932,557803.59,546502.34
549272,2024,1,JAN,2024-01-02,Austria,State (FIR),SCR,544578,542771.06,531838.03
549273,2024,1,JAN,2024-01-02,BLUE MED FAB,FAB (FIR),CPF,2854522,2830105.69,2782362.88
549274,2024,1,JAN,2024-01-02,BLUE MED FAB,FAB (FIR),FTFM,2881525,2834157.35,2775751.77
549275,2024,1,JAN,2024-01-02,BLUE MED FAB,FAB (FIR),SCR,2848702,2806440.65,2752196.18
549276,2024,1,JAN,2024-01-02,Baltic FAB,FAB (FIR),CPF,615515,611235.21,585005.74
549277,2024,1,JAN,2024-01-02,Baltic FAB,FAB (FIR),FTFM,627660,618122.16,585220.77
549278,2024,1,JAN,2024-01-02,Baltic FAB,FAB (FIR),SCR,599849,590986.93,561294.17
549279,2024,1,JAN,2024-01-02,Belgium,State (FIR),CPF,359985,357297.03,347418.58
549280,2024,1,JAN,2024-01-02,Belgium,State (FIR),FTFM,387430,381222.98,365309.12
549281,2024,1,JAN,2024-01-02,Belgium,State (FIR),SCR,394209,387921.72,372639.87
549282,2024,1,JAN,2024-01-02,Bosnia and Herzegovina,State (FIR),CPF,222191,222070.52,219867.03
549283,2024,1,JAN,2024-01-02,Bosnia and Herzegovina,State (FIR),FTFM,225774,225508.06,222697.54
549284,2024,1,JAN,2024-01-02,Bosnia and Herzegovina,State (FIR),SCR,217137,217003.56,214354.6
549285,2024,1,JAN,2024-01-02,Bulgaria,State (FIR),CPF,634895,632915.95,615421.82
549286,2024,1,JAN,2024-01-02,Bulgaria,State (FIR),FTFM,621850,619684.1,599574.15
549287,2024,1,JAN,2024-01-02,Bulgaria,State (FIR),SCR,592355,590182.35,571664.63
549288,2024,1,JAN,2024-01-02,Croatia,State (FIR),CPF,379869,379411.64,375163.46
549289,2024,1,JAN,2024-01-02,Croatia,State (FIR),FTFM,380025,379426.75,374068.59
549290,2024,1,JAN,2024-01-02,Croatia,State (FIR),SCR,347720,347313.85,342597.16
549291,2024,1,JAN,2024-01-02,Cyprus,State (FIR),CPF,228135,224995.21,215702.69
549292,2024,1,JAN,2024-01-02,Cyprus,State (FIR),FTFM,231499,225460.14,216495.98
549293,2024,1,JAN,2024-01-02,Cyprus,State (FIR),SCR,217067,211517.86,204046.78
549294,2024,1,JAN,2024-01-02,Czech Republic,State (FIR),CPF,299744,299029.45,293396.92
549295,2024,1,JAN,2024-01-02,Czech Republic,State (FIR),FTFM,299677,298176.03,290250.27
549296,2024,1,JAN,2024-01-02,Czech Republic,State (FIR),SCR,282410,281023.01,273509.8
549297,2024,1,JAN,2024-01-02,DANUBE FAB,FAB (FIR),FTFM,1404877,1398659.19,1352262.32
549298,2024,1,JAN,2024-01-02,DANUBE FAB,FAB (FIR),SCR,1321268,1315332.14,1272614.27
549299,2024,1,JAN,2024-01-02,DANUBE FAB,FAB (FIR),CPF,1426353,1421709.89,1380501.38
549300,2024,1,JAN,2024-01-02,DK-SE FAB,FAB (FIR),SCR,708291,703774.94,693025.81
549301,2024,1,JAN,2024-01-02,DK-SE FAB,FAB (FIR),FTFM,729021,723620.24,712017.26
549302,2024,1,JAN,2024-01-02,DK-SE FAB,FAB (FIR),CPF,716420,713687.14,705971.55
549303,2024,1,JAN,2024-01-02,Denmark,State (FIR),CPF,234098,233852.34,231862.47
549304,2024,1,JAN,2024-01-02,Denmark,State (FIR),SCR,238562,237587.86,234138.99
549305,2024,1,JAN,2024-01-02,Denmark,State (FIR),FTFM,241606,240006.55,236329.94
549306,2024,1,JAN,2024-01-02,EUROCONTROL Area (PRR),Area (FIR),CPF,25238954,24659524.52,24512597.25
549307,2024,1,JAN,2024-01-02,EUROCONTROL Area (PRR),Area (FIR),FTFM,25450379,24579629.23,24373474.76
549308,2024,1,JAN,2024-01-02,EUROCONTROL Area (PRR),Area (FIR),SCR,24773740,23967976.23,23766517.42
549309,2024,1,JAN,2024-01-02,Estonia,State (FIR),CPF,64940,64491.45,60505.26
549310,2024,1,JAN,2024-01-02,Estonia,State (FIR),FTFM,63035,62806.52,58763.48
549311,2024,1,JAN,2024-01-02,Estonia,State (FIR),SCR,60508,60284.6,56489.34
549312,2024,1,JAN,2024-01-02,FAB CE,FAB (FIR),FTFM,2189562,2176197.21,2136726.33
549313,2024,1,JAN,2024-01-02,FAB CE,FAB (FIR),CPF,2186392,2178253.7,2148329.35
549314,2024,1,JAN,2024-01-02,FAB CE,FAB (FIR),SCR,2080125,2067960.73,2031040.29
549315,2024,1,JAN,2024-01-02,FAB CE (SES RP1),FAB (FIR),FTFM,1584893,1574162.95,1541077.46
549316,2024,1,JAN,2024-01-02,FAB CE (SES RP1),FAB (FIR),SCR,1514942,1504932.12,1473764.3
549317,2024,1,JAN,2024-01-02,FAB CE (SES RP1),FAB (FIR),CPF,1585522,1579144.56,1554450.84
549318,2024,1,JAN,2024-01-02,FAB CE (SES RP2),FAB (FIR),SCR,1861917,1850439.0,1815620.9
549319,2024,1,JAN,2024-01-02,FAB CE (SES RP2),FAB (FIR),CPF,1964048,1956469.15,1928297.17
549320,2024,1,JAN,2024-01-02,FAB CE (SES RP2),FAB (FIR),FTFM,1963533,1951095.37,1913772.61
549321,2024,1,JAN,2024-01-02,FABEC,FAB (FIR),FTFM,7080988,6861831.23,6737008.98
549322,2024,1,JAN,2024-01-02,FABEC,FAB (FIR),CPF,6985944,6891996.14,6796976.56
549323,2024,1,JAN,2024-01-02,FABEC,FAB (FIR),SCR,6950341,6744879.86,6624594.86
549324,2024,1,JAN,2024-01-02,Finland,State (FIR),CPF,144848,144555.97,141013.01
549325,2024,1,JAN,2024-01-02,Finland,State (FIR),FTFM,146456,146075.18,142157.4
549326,2024,1,JAN,2024-01-02,Finland,State (FIR),SCR,137826,137460.4,133586.79
549327,2024,1,JAN,2024-01-02,France,State (FIR),CPF,3857635,3811617.16,3746990.65
549328,2024,1,JAN,2024-01-02,France,State (FIR),FTFM,3874450,3758310.7,3677268.46
549329,2024,1,JAN,2024-01-02,France,State (FIR),SCR,3812335,3703116.92,3624623.38
549330,2024,1,JAN,2024-01-02,Georgia,State (FIR),CPF,178861,178207.82,170253.86
549331,2024,1,JAN,2024-01-02,Georgia,State (FIR),FTFM,174826,173443.18,165530.72
549332,2024,1,JAN,2024-01-02,Georgia,State (FIR),SCR,149257,148405.29,141560.52
549333,2024,1,JAN,2024-01-02,Germany,State (FIR),CPF,2071597,2058316.14,2029087.35
549334,2024,1,JAN,2024-01-02,Germany,State (FIR),FTFM,2111707,2065816.62,2021038.95
549335,2024,1,JAN,2024-01-02,Germany,State (FIR),SCR,2051629,2009493.28,1966909.62
549336,2024,1,JAN,2024-01-02,Greece,State (FIR),CPF,833858,830549.28,818541.04
549337,2024,1,JAN,2024-01-02,Greece,State (FIR),FTFM,845543,836315.91,821132.87
549338,2024,1,JAN,2024-01-02,Greece,State (FIR),SCR,816133,808949.59,795758.08
549339,2024,1,JAN,2024-01-02,Hungary,State (FIR),CPF,486108,485611.02,477526.73
549340,2024,1,JAN,2024-01-02,Hungary,State (FIR),SCR,456189,454667.8,444636.19
549341,2024,1,JAN,2024-01-02,Hungary,State (FIR),FTFM,485943,484417.79,473610.54
549342,2024,1,JAN,2024-01-02,Ireland,State (FIR),FTFM,279298,278424.57,274274.34
549343,2024,1,JAN,2024-01-02,Ireland,State (FIR),SCR,251957,251392.22,247761.01
549344,2024,1,JAN,2024-01-02,Ireland,State (FIR),CPF,288658,288318.67,284852.12
549345,2024,1,JAN,2024-01-02,Italy,State (FIR),CPF,1664319,1650884.15,1621196.65
549346,2024,1,JAN,2024-01-02,Italy,State (FIR),FTFM,1679299,1652437.38,1614185.42
549347,2024,1,JAN,2024-01-02,Italy,State (FIR),SCR,1696424,1670971.22,1634370.04
549348,2024,1,JAN,2024-01-02,Latvia,State (FIR),CPF,77200,76716.32,71156.7
549349,2024,1,JAN,2024-01-02,Latvia,State (FIR),SCR,74090,73792.25,68534.91
549350,2024,1,JAN,2024-01-02,Latvia,State (FIR),FTFM,77340,77039.41,71439.54
549351,2024,1,JAN,2024-01-02,Lithuania,State (FIR),CPF,64555,64444.82,57975.17
549352,2024,1,JAN,2024-01-02,Lithuania,State (FIR),SCR,62364,62195.32,55147.46
549353,2024,1,JAN,2024-01-02,Lithuania,State (FIR),FTFM,65512,65281.01,57728.63
549354,2024,1,JAN,2024-01-02,Malta,State (FIR),CPF,125932,125774.14,124693.85
549355,2024,1,JAN,2024-01-02,Malta,State (FIR),SCR,116109,116018.05,115100.27
549356,2024,1,JAN,2024-01-02,Malta,State (FIR),FTFM,124274,124145.48,122958.79
549357,2024,1,JAN,2024-01-02,Moldova,State (FIR),CPF,1288,1288.38,998.41
549358,2024,1,JAN,2024-01-02,Moldova,State (FIR),FTFM,989,980.4,747.65
549359,2024,1,JAN,2024-01-02,Moldova,State (FIR),SCR,779,770.49,572.62
549360,2024,1,JAN,2024-01-02,Morocco,State (FIR),CPF,880876,877173.99,865377.7
549361,2024,1,JAN,2024-01-02,Morocco,State (FIR),SCR,873505,866334.36,854020.22
549362,2024,1,JAN,2024-01-02,Morocco,State (FIR),FTFM,880393,872250.6,859168.37
549363,2024,1,JAN,2024-01-02,NEFAB,FAB (FIR),FTFM,651320,641771.46,630296.31
549364,2024,1,JAN,2024-01-02,NEFAB,FAB (FIR),CPF,651060,642714.11,633164.84
549365,2024,1,JAN,2024-01-02,NEFAB,FAB (FIR),SCR,617892,608596.66,597864.14
549366,2024,1,JAN,2024-01-02,Netherlands,State (FIR),FTFM,433450,426584.36,414873.83
549367,2024,1,JAN,2024-01-02,Netherlands,State (FIR),CPF,433133,427341.82,419064.85
549368,2024,1,JAN,2024-01-02,Netherlands,State (FIR),SCR,412270,406301.06,395309.9
549369,2024,1,JAN,2024-01-02,North Macedonia,State (FIR),CPF,56182,56118.59,55229.3
549370,2024,1,JAN,2024-01-02,North Macedonia,State (FIR),FTFM,57613,57446.3,55689.62
